9252315,d,3,b,1,f,8,twelve
111600381,d,4,e,3,g,2,seven
26708819,d,1,b,2,a,2,draw
158336885,d,4,h,2,e,2,ten
135648073,c,2,c,5,f,2,ten
82157345,c,1,f,4,e,2,twelve
220859049,d,2,e,7,g,6,eleven
133978401,c,2,g,5,c,5,fourteen
255616245,d,3,b,3,b,5,thirteen
176619591,a,1,d,6,g,4,sixteen
131847667,b,1,g,7,d,5,fifteen
254208667,d,4,e,3,b,2,eight
31587163,c,2,c,7,g,4,thirteen
137257375,c,2,c,8,f,1,eight
14237865,d,2,g,4,a,3,five
9214868,d,3,h,4,f,4,twelve
220415487,c,2,d,8,g,7,thirteen
23565616,c,3,a,3,g,3,twelve
27231000,c,1,h,3,b,7,thirteen
207451174,d,4,c,8,h,1,seven
230435382,d,3,c,8,d,7,draw
259364140,c,1,h,3,c,7,fourteen
121260862,d,2,d,3,f,2,five
236859960,a,1,a,6,g,4,fifteen
176794447,b,1,c,7,d,2,fifteen
22825423,a,1,b,4,d,1,thirteen
202330369,d,1,f,5,b,8,fourteen
177814113,d,2,a,4,d,8,twelve
182381620,d,3,f,5,b,2,six
114027576,d,3,e,8,h,1,six
196175921,d,3,c,1,h,8,eleven
23036129,c,2,a,8,e,2,ten
92721617,d,4,g,1,h,4,seven
144066392,c,2,b,6,d,4,fourteen
230561706,b,2,c,8,h,1,nine
12311335,d,1,h,2,f,1,six
93543117,d,4,e,5,b,2,eight
89258832,d,4,a,1,f,6,eleven
110072565,c,2,e,2,c,6,twelve
209230916,d,4,f,3,a,1,seven
255408933,d,2,f,6,h,7,ten
17347447,d,2,c,7,b,4,ten
77701747,d,3,f,1,c,5,twelve
121241338,d,4,f,5,c,1,eight
237877969,a,1,f,2,g,3,draw
191065147,c,3,d,2,h,2,nine
156959442,d,3,d,1,h,4,eleven
93833688,c,1,b,2,f,7,fourteen
